"Ege University","Turkey","Western Asia"
"University of Belgrade","Serbia","Eastern Europe"
"University of Eastern Piedmont ""Amedeo Avogadro""","Italy","Western Europe"
"Budapest University of Technology and Economics","Hungary","Eastern Europe"
"University of Salzburg","Austria","Western Europe"
"University of Massachusetts Lowell","USA","Caribbean"
"Jaume I University","Spain","Western Europe"
"Chongqing University","China","Eastern Asia"
"Beijing Institute of Technology","China","Eastern Asia"
"Manchester Metropolitan University","United Kingdom","Western Europe"
"Zhengzhou University","China","Eastern Asia"
"Dublin City University","Ireland","Western Europe"
"National University of Ireland, Maynooth","Ireland","Western Europe"
"Kangwon National University","South Korea","Eastern Asia"
"Royal Veterinary College, University of London","United Kingdom","Western Europe"
"Wright State University - Dayton","USA","Caribbean"
"Capital Medical University","China","Eastern Asia"
"University of Brighton","United Kingdom","Western Europe"
"Sofia University","Bulgaria","Eastern Europe"
"University of Regina","Canada","Caribbean"
"Magna Græcia University of Catanzaro","Italy","Western Europe"
"Chungbuk National University","South Korea","Eastern Asia"
"Kōchi University","Japan","Eastern Asia"
"University of New Brunswick","Canada","Caribbean"
"Sejong University","South Korea","Eastern Asia"
"Sharif University of Technology","Iran","Southern Asia"
"Chung-Ang University","South Korea","Eastern Asia"
"Queens College, City University of New York","USA","Caribbean"
"Murdoch University","Australia","Oceania"
"Chosun University","South Korea","Eastern Asia"
"Vilnius University","Lithuania","Eastern Europe"
"University of Maribor","Slovenia","Eastern Europe"
"Ritsumeikan University","Japan","Eastern Asia"
"University of Sassari","Italy","Western Europe"
"Nanjing Normal University","China","Eastern Asia"
"University of Franche-Comté","France","Western Europe"
"University of Texas at El Paso","USA","Caribbean"
"Rio de Janeiro State University","Brazil","South America"
"Jinan University","China","Eastern Asia"
"University of Massachusetts Boston","USA","Caribbean"
"University of Alcalá","Spain","Western Europe"
"Tehran University of Medical Sciences","Iran","Southern Asia"
"University of the Ryukyus","Japan","Eastern Asia"
"University of Angers","France","Western Europe"
"Fluminense Federal University","Brazil","South America"
"Florida Institute of Technology","USA","Caribbean"
"Trent University","Canada","Caribbean"
"National Chung Cheng University","Taiwan","Eastern Asia"
"Bilkent University","Turkey","Western Asia"
"National Taiwan Normal University","Taiwan","Eastern Asia"
"Saitama University","Japan","Eastern Asia"
"RMIT University","Australia","Oceania"
"Hamamatsu University School of Medicine","Japan","Eastern Asia"
"University of Greifswald","Germany","Western Europe"
"University of Pécs","Hungary","Eastern Europe"
"University of Fukui","Japan","Eastern Asia"
"Oakland University","USA","Caribbean"
"Nanjing University of Technology","China","Eastern Asia"
"University of Technology, Sydney","Australia","Oceania"
"University of North Carolina at Greensboro","USA","Caribbean"
"All India Institute of Medical Sciences, New Delhi","India","Southern Asia"
